"route","date","daytype","rides"
"1","07/16/2012","W","2,228"
"1","07/17/2012","W","2,583"
"1","07/18/2012","W","2,576"
"1","07/19/2012","W","2,193"
"1","07/20/2012","W","2,369"
"1","07/23/2012","W","2,561"
"1","07/24/2012","W","2,296"
"1","07/25/2012","W","2,446"
"1","07/26/2012","W","2,804"
"1","07/27/2012","W","2,351"
"1","07/30/2012","W","2,390"
"1","07/31/2012","W","2,557"
"1","08/01/2012","W","2,706"
"1","08/02/2012","W","2,480"
"1","08/03/2012","W","2,428"
"1","08/06/2012","W","2,435"
"1","08/07/2012","W","2,441"
"1","08/08/2012","W","2,659"
"1","08/09/2012","W","2,472"
"1","08/10/2012","W","2,251"
"1","08/13/2012","W","2,495"
"1","08/14/2012","W","2,553"
"1","08/15/2012","W","2,428"
"1","08/16/2012","W","2,769"
"1","08/17/2012","W","2,694"
"1","08/20/2012","W","2,545"
"1","08/21/2012","W","2,620"
"1","08/22/2012","W","2,630"
"1","08/23/2012","W","2,478"
"1","08/24/2012","W","2,453"
"1","08/27/2012","W","2,715"
"1","08/28/2012","W","2,698"
"1","08/29/2012","W","2,629"
"1","08/30/2012","W","2,831"
"1","08/31/2012","W","2,599"
"1","09/04/2012","W","2,928"
"1","09/05/2012","W","3,022"
"1","09/06/2012","W","3,057"
"1","09/07/2012","W","2,801"
"1","09/10/2012","W","2,477"
"1","09/11/2012","W","2,268"
"1","09/12/2012","W","2,841"
"1","09/13/2012","W","2,341"
"1","09/14/2012","W","2,369"
"1","09/17/2012","W","3,003"
"1","09/18/2012","W","2,711"
"1","09/19/2012","W","2,930"
"1","09/20/2012","W","3,203"
"1","09/21/2012","W","2,768"
"1","09/24/2012","W","2,864"
"1","09/25/2012","W","3,170"
"1","09/26/2012","W","3,168"
"1","09/27/2012","W","2,892"
"1","09/28/2012","W","2,812"
"1","10/01/2012","W","3,300"
"1","10/02/2012","W","3,051"
"1","10/03/2012","W","3,263"
"1","10/04/2012","W","3,312"
"1","10/05/2012","W","2,754"
"1","10/08/2012","W","2,226"
"1","10/09/2012","W","3,256"
"1","10/10/2012","W","3,272"
"1","10/11/2012","W","3,100"
"1","10/12/2012","W","2,842"
"1","10/15/2012","W","2,976"
"1","10/16/2012","W","3,046"
"1","10/17/2012","W","3,116"
"1","10/18/2012","W","3,067"
"1","10/19/2012","W","2,961"
"1","10/22/2012","W","2,809"
"1","10/23/2012","W","2,926"
"1","10/24/2012","W","2,946"
"1","10/25/2012","W","2,966"
"1","10/26/2012","W","2,599"
"1","10/29/2012","W","2,982"
"1","10/30/2012","W","2,878"
"1","10/31/2012","W","2,868"
"1","11/01/2012","W","2,835"
"1","11/02/2012","W","3,181"
"1","11/05/2012","W","2,731"
"1","11/06/2012","W","3,179"
"1","11/07/2012","W","2,761"
"1","11/08/2012","W","2,987"
"1","11/09/2012","W","2,615"
"1","11/12/2012","W","2,138"
"1","11/13/2012","W","2,771"
"1","11/14/2012","W","2,977"
"1","11/15/2012","W","3,080"
"1","11/16/2012","W","3,129"
"1","11/19/2012","W","2,979"
"1","11/20/2012","W","3,192"
"1","11/21/2012","W","2,850"
"1","11/23/2012","W","808"
"1","11/26/2012","W","2,952"
"1","11/27/2012","W","3,007"
"1","11/28/2012","W","2,928"
"1","11/29/2012","W","3,192"
"1","11/30/2012","W","2,889"
"1","12/03/2012","W","3,322"
"1","12/04/2012","W","3,382"
"1","12/05/2012","W","2,861"
"1","12/06/2012","W","2,943"
"1","12/07/2012","W","2,751"
"1","12/10/2012","W","3,004"
"1","12/11/2012","W","2,858"
"1","12/12/2012","W","3,047"
"1","12/13/2012","W","3,353"
"1","12/14/2012","W","2,827"
"1","12/17/2012","W","2,008"
"1","12/18/2012","W","1,702"
"1","12/19/2012","W","1,969"
"1","12/20/2012","W","1,907"
"1","12/21/2012","W","1,541"
"1","12/24/2012","W","613"
"1","12/26/2012","W","1,015"
"1","12/27/2012","W","1,294"
"1","12/28/2012","W","1,621"
"1","12/31/2012","W","881"
"1","01/02/2013","W","1,773"
"1","01/03/2013","W","2,040"
"1","01/04/2013","W","1,803"
"1","01/07/2013","W","2,254"
"1","01/08/2013","W","2,092"
"1","01/09/2013","W","2,038"
"1","01/10/2013","W","2,100"
"1","01/11/2013","W","1,913"
"1","01/14/2013","W","2,417"
"1","01/15/2013","W","2,600"
"1","01/16/2013","W","2,138"
"1","01/17/2013","W","2,410"
"1","01/18/2013","W","1,766"
"1","01/21/2013","W","775"
"1","01/22/2013","W","2,033"
"1","01/23/2013","W","2,014"
"1","01/24/2013","W","2,055"
"1","01/25/2013","W","2,131"
"1","01/28/2013","W","2,203"
"1","01/29/2013","W","2,267"
"1","01/30/2013","W","2,395"
"1","01/31/2013","W","2,311"
"1","02/01/2013","W","2,175"
"1","02/04/2013","W","2,400"
"1","02/05/2013","W","2,361"
"1","02/06/2013","W","2,397"
"1","02/07/2013","W","2,533"
"1","02/08/2013","W","2,449"
"1","02/11/2013","W","2,311"
"1","02/12/2013","W","2,216"
"1","02/13/2013","W","2,907"
"1","02/14/2013","W","2,249"
"1","02/15/2013","W","2,054"
"1","02/18/2013","W","1,438"
"1","02/19/2013","W","2,382"
"1","02/20/2013","W","2,125"
"1","02/21/2013","W","2,439"
"1","02/22/2013","W","2,087"
"1","02/25/2013","W","2,371"
"1","02/26/2013","W","2,571"
"1","02/27/2013","W","2,233"
"1","02/28/2013","W","2,348"
"1","03/01/2013","W","2,321"
"1","03/04/2013","W","2,397"
"1","03/05/2013","W","2,390"
"1","03/06/2013","W","2,394"
"1","03/07/2013","W","2,252"
"1","03/08/2013","W","2,424"
"1","03/11/2013","W","2,187"
"1","03/12/2013","W","2,506"
"1","03/13/2013","W","2,066"
"1","03/14/2013","W","2,057"
"1","03/15/2013","W","2,324"
"1","03/18/2013","W","2,450"
